zombi,zombie
zmz,pesan
YW,bersama-sama
Yuyu,Kepiting
yuqz,ayo
yuq,ayo
yupz,iya
yukz,ayo
you're welcome,sama-sama
your,kamu
younger,lebih muda
you welcome,sama-sama
you,kamu
yok,ayo
yha,ya
yg,yang
yet,juga
yes,ya
ye,ya
yayune,kakak
Yayu,kakak
yawla,ya
yanv,yang
Yalsi,sial
yak,ya
yaisi,sial
yahut,bagus
yah,ya
yaelah,ya ampun
ya elah,ya ampun
xtengok,lihat
xsyok,kaget
xpe,sampai
xmx,pesan
xixixi,tertawa
xbestnya,bagus sekali
x,nya
wu,aku
WTH,apa maksudnya
worth it,sangat pantas
worth,pantas
worst,paling buruk
worse,lebih buruk
won,memenangkan
Woles,santai saja
wkwkwk,tertawa
wkwk,haha
wktu,waktu
wkowkowkwo,tertawa
wkend,akhir pekan
wkawkawkwa,tertawa
with,dengan
Wis Gutul Ngendi,Sudah sampai mana
Wis,Sudah
wingi,kemarin
Who,Berbuah
weyh,wah
wey,wow
well done,bagus sekali
wel done,sangat bagus hasilnya
wel,ya
wekend,malam minggu
Wei,Beri
weh,wow
Weduh,Melihat
Wedi,Takut
Wates,Batas
watched,lihat
watch,lihat
watak,sifat
wat,buat
wasn t that bad,tidak terlalu jelek
warbyasak,luar biasa
warbiasah,luar biasa
warbiasa,luar biasa
waras,sehat
wanita2,wanita wanita
walopun,walaupun
Waléh,mengaku
wae,saja
Wadon,wanita
wad,buat
wa,saya
w,saya
vote,memilih
Uyel-uyelan,berdesakan
Uwan,rambut putih
utk,untuk
usil,bertingkah
urang,orang
ur welcome,sama-sama
Uput-uput,sangat pagi
unyuan,lebih manis
unyu,manis
Umeb,Mendidih
ulasan,review
ujung2,akhir
Ujug-ujug,Tiba-tiba
Ujarku,menurutku
Ujar,berkata
ui,hai
uhukx,ya
Udu Inyong Ka,bukan saya
udh,sudah
udeh,sudah
Udah,sudah
uda,sudah
ud,sudah
Ucul,lucu
uchul,lucu
Ubay,Kamu berlebihan
tyz,terus
tyuz,terus
Typo,salah tulis
tyap,setiap
ty,terima kasih
twice,dua kali
tw,tahu
tuwh,itu
turns out,ternyata
tungu-tungu,tunggu
tungu2,tunggu
tungu",tunggu
tungu,tunggu
tuk,untuk
tujuanya,tujuannya
tuh,itu
tuch,itu
tu pun,itu pun
tu,itu
ttp,tetap
ttiba,Tiba-tiba
ttg,tentang
trz,terus
trutama,terutama
trus,terus
trs,terus
trnyata,ternyata
trksn,terkesan
trksan,terkesan
trims,terima kasih
trimakasih,terima kasih
traveling,bepergian
Trataban,Hati berdebar kencang
translatenya,subtitle nya
tpi,tapi
tp,tapi
touching,menyentuh
touchin,menyentuh
touched,tersentuh
tok,hanya
toching,menyentuh
tntonan,tontonan
tnp,tanpa
tngok,lihat
tngk,lihat
tmpat,tempat
tmn,teman
tlaten,tekun
tl,timeline
tk,tidak
tingi2,tinggi
tingi,tinggi
time,waktu
tilp,telepon
Tidokna,ditunjukkan
tido,tidur
tida,tidak
tiba2,Tiba-tiba
thx,terima kasih
thriler,thriller
thought,berpikir
thok,saja
thn,tahun
this year,tahun ini
the type,tipe yang
the film,film ini
the best,bagus
the, 
thanks,terima kasih
tgu,tunggu
tgok,lihat
tgk,lihat
tggu,tunggu
